OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,12791,2020/11/21 23:00:00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},440.495865207094,234,45.7680404081173,20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,22531,2020/11/21 23:00:00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},1219.70298600138,336,107.132049589309,3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,62553,2020/11/21 23:00:00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},782.537747660381,1004,85.2806392307454,29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,9212,2020/11/21 23:00:00,04,{4132268B-54DE-4327-AC1E-760E915112F1},1352.31546589705,106,148.120528125284,2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,230976,2020/11/21 23:00:00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},1286.97362115282,2956,161.440035758182,19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,75789,2020/11/21 23:00:00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},1205.28046716963,1027,169.956489103192,15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,37587,2020/11/21 23:00:00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},918.121411279163,416,123.744993469557,13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,132011,2020/11/21 23:00:00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},1189.24607540958,2441,135.148355995292,18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,181001,2020/11/21 23:00:00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},1379.08287228917,3426,171.652963407952,29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,11345,2020/11/21 23:00:00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},1149.57436869672,236,115.312087402104,4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,56068,2020/11/21 23:00:00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},1527.95033425617,447,224.09102515853,2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,15315,2020/11/21 23:00:00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},607.281910850302,277,85.8878628078194,18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,5154,2020/11/21 23:00:00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},320.494882901841,53,46.3268699576778,30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,42597,2020/11/21 23:00:00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},1046.10273501457,648,176.744873674199,15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,9791,2020/11/21 23:00:00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},446.10353101128,122,71.1687994525197,14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,13548,2020/11/21 23:00:00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},635.049203657298,293,121.309960072711,15.0324529635839,2.07032354616438
